Fno,CASno,Flag,Class,RTwax,RIwax,RIwaxl,RI5l,BP,mw,odor,OA,OW,WSrange,WLrange,OV,FW,FV,RRF
219,629196,QESROT,Sulfurcompounds,22.948,1387,1379,1098,195.5,150,cookedmeat_garlic_onion_pungent_sulfur,0.13,,,,,0.0032,0.1,1.975218919
220,544401,QESRT,Sulfurcompounds,19.527,1269,1262,1078,188.7,146,,0.00088,,,,,,0.000002,1.48013172
221,93185,ESRT,ImportedFEMAGRASlist,39.995,2126,,1520,282,172,,0.012,,,,446,,,0.061763378
222,151100,QESROT,Phenols,32.216,1759,1719,1167,86,138,hazelnut_medicine_resinous_wood,,,,,0.0214,,,0.961648879
223,3558609,PESR,Ethers,25.931,1498,,1083,190,136,,,,,,,,,1.402466842
224,57500002,QESROT,Sulfurcompounds,33.644,1826,1820,1229,238,160,smoke,0.0001,0.00004,,,,,,1.315298021
225,16409431,QESR,Epoxidespyranscoumarins,,,1338,1127,196.7,154,,,,,,,,,1.027679061
226,59323761,PSRO,Sulfurcompounds,22.982,1699,1514,,226.5,160,fruit_green_tropicalfruit,,,,,,,,2.918887947
227,93163,QESROT,Phenols,39.319,2097,2189,1495,263,178,smoke,,1.6,,,,,35,0.852504863
228,140670,QESROT,Phenols,30.422,1681,1672,1198,216,148,anise_herb_licorice,0.00013,0.006,0.006,0.035,6.3,0.0075,,0.871783165
229,464493,QESROT,ketones,26.896,1537,1518,1144,204,152,camphor_earth_pine_spice,,1.29,1,1.36,,380,,1.188365069
230,120729,QESROT,Bases,42.644,2237,2445,1295,253,117,animal_burnt_fecal_floral_unpleasant,0.0014,0.011,0.011,0.14,0.33,0.5,0.1,0.627490034
231,15356602,EST,Alcohols,29.697,1650,,,216,156,,0.9,0.92,,,,,3,1.182794394
232,104461,QESROT,Phenols,33.947,1841,1830,1285,235.5,148,anise_licorice_metal_sweet,0.057,,,,0.05,0.55,0.1,0.818873167
233,119846,PESRO,Epoxidespyranscoumarins,,,2269,1380,272,148,herb,,,,,,,,2.148892887
234,121335,QESROT,Aldehydes,44.285,2300,2577,1405,285,152,candy_chocolate_spice_sweet_vanilla,0.1,0.053,0.025,0.064,0.14,0.11,0.054,1.937858537
235,92488,PESR,Epoxidespyranscoumarins,44.9,2317,2518,1554,303,160,,,,,,,,,0.946983333
236,505102,QESROT,Sulfurcompounds,31.459,1726,1722,979,93,106,burntmilk_cookedpotato_earth_soy,1.71,0.25,0.036,0.25,1.5,0.005,1.2,2.418231497
